menu_item,category_item,class_item,,month ,year,month ,year
4-piece Spicy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,
6-piece Spicy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,
4-piece Spicy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,
6-piece Spicy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,
4-piece Spicy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,
6-piece Spicy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Extra Large,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich King Size,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Family Size,Chicken Sandwich,Chicken,,,,,
4-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
6-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
8-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
10-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
12-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
15-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
20-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Combo,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Value Meal,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Deluxe Meal,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Family Meal,Chicken Sandwich,Chicken,,,,,
Grilled Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Fried Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Baked Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Fresh Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Extra Crispy,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich No Mayo,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Extra Cheese,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Spicy,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich Mild,Chicken Sandwich,Chicken,,,,,
Grilled Chicken Sandwich BBQ,Chicken Sandwich,Chicken,,,,,
4-piece Grilled Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,
6-piece Grilled Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,
4-piece Grilled Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,
6-piece Grilled Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,
4-piece Grilled Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,
6-piece Grilled Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Extra Large,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich King Size,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Family Size,Chicken Sandwich,Chicken,,,,,
4-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
6-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
8-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
10-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
12-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
15-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
20-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Combo,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Value Meal,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Deluxe Meal,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Family Meal,Chicken Sandwich,Chicken,,,,,
Grilled Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Fried Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Baked Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Fresh Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Extra Crispy,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich No Mayo,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Extra Cheese,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Spicy,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich Mild,Chicken Sandwich,Chicken,,,,,
Crispy Chicken Sandwich BBQ,Chicken Sandwich,Chicken,,,,,
4-piece Crispy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,
6-piece Crispy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,
4-piece Crispy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,
6-piece Crispy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,
4-piece Crispy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,
6-piece Crispy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,
Spicy Nuggets,Nuggets,Chicken,,,,,
Spicy Nuggets Small,Nuggets,Chicken,,,,,
Spicy Nuggets Medium,Nuggets,Chicken,,,,,
Spicy Nuggets Large,Nuggets,Chicken,,,,,
Spicy Nuggets Extra Large,Nuggets,Chicken,,,,,
Spicy Nuggets King Size,Nuggets,Chicken,,,,,
Spicy Nuggets Family Size,Nuggets,Chicken,,,,,
4-piece Spicy Nuggets,Nuggets,Chicken,,,,,
6-piece Spicy Nuggets,Nuggets,Chicken,,,,,
8-piece Spicy Nuggets,Nuggets,Chicken,,,,,
10-piece Spicy Nuggets,Nuggets,Chicken,,,,,
12-piece Spicy Nuggets,Nuggets,Chicken,,,,,
15-piece Spicy Nuggets,Nuggets,Chicken,,,,,
20-piece Spicy Nuggets,Nuggets,Chicken,,,,,
Spicy Nuggets Combo,Nuggets,Chicken,,,,,
Spicy Nuggets Value Meal,Nuggets,Chicken,,,,,
Spicy Nuggets Deluxe Meal,Nuggets,Chicken,,,,,
Spicy Nuggets Family Meal,Nuggets,Chicken,,,,,
Grilled Spicy Nuggets,Nuggets,Chicken,,,,,
Fried Spicy Nuggets,Nuggets,Chicken,,,,,
Baked Spicy Nuggets,Nuggets,Chicken,,,,,
Fresh Spicy Nuggets,Nuggets,Chicken,,,,,
Spicy Nuggets Extra Crispy,Nuggets,Chicken,,,,,
Spicy Nuggets No Mayo,Nuggets,Chicken,,,,,
Spicy Nuggets Extra Cheese,Nuggets,Chicken,,,,,
Spicy Nuggets Spicy,Nuggets,Chicken,,,,,
Spicy Nuggets Mild,Nuggets,Chicken,,,,,
Spicy Nuggets BBQ,Nuggets,Chicken,,,,,
4-piece Spicy Nuggets Small,Nuggets,Chicken,,,,,
6-piece Spicy Nuggets Small,Nuggets,Chicken,,,,,
4-piece Spicy Nuggets Medium,Nuggets,Chicken,,,,,
6-piece Spicy Nuggets Medium,Nuggets,Chicken,,,,,
4-piece Spicy Nuggets Large,Nuggets,Chicken,,,,,
6-piece Spicy Nuggets Large,Nuggets,Chicken,,,,,
Regular Nuggets,Nuggets,Chicken,,,,,
Regular Nuggets Small,Nuggets,Chicken,,,,,
Regular Nuggets Medium,Nuggets,Chicken,,,,,
Regular Nuggets Large,Nuggets,Chicken,,,,,
Regular Nuggets Extra Large,Nuggets,Chicken,,,,,
Regular Nuggets King Size,Nuggets,Chicken,,,,,
Regular Nuggets Family Size,Nuggets,Chicken,,,,,
4-piece Regular Nuggets,Nuggets,Chicken,,,,,
6-piece Regular Nuggets,Nuggets,Chicken,,,,,
8-piece Regular Nuggets,Nuggets,Chicken,,,,,
10-piece Regular Nuggets,Nuggets,Chicken,,,,,
12-piece Regular Nuggets,Nuggets,Chicken,,,,,
15-piece Regular Nuggets,Nuggets,Chicken,,,,,
20-piece Regular Nuggets,Nuggets,Chicken,,,,,
Regular Nuggets Combo,Nuggets,Chicken,,,,,
Regular Nuggets Value Meal,Nuggets,Chicken,,,,,
Regular Nuggets Deluxe Meal,Nuggets,Chicken,,,,,
Regular Nuggets Family Meal,Nuggets,Chicken,,,,,
Grilled Regular Nuggets,Nuggets,Chicken,,,,,
Fried Regular Nuggets,Nuggets,Chicken,,,,,
Baked Regular Nuggets,Nuggets,Chicken,,,,,
Fresh Regular Nuggets,Nuggets,Chicken,,,,,
Regular Nuggets Extra Crispy,Nuggets,Chicken,,,,,
Regular Nuggets No Mayo,Nuggets,Chicken,,,,,
Regular Nuggets Extra Cheese,Nuggets,Chicken,,,,,
Regular Nuggets Spicy,Nuggets,Chicken,,,,,
Regular Nuggets Mild,Nuggets,Chicken,,,,,
Regular Nuggets BBQ,Nuggets,Chicken,,,,,
4-piece Regular Nuggets Small,Nuggets,Chicken,,,,,
6-piece Regular Nuggets Small,Nuggets,Chicken,,,,,
4-piece Regular Nuggets Medium,Nuggets,Chicken,,,,,
6-piece Regular Nuggets Medium,Nuggets,Chicken,,,,,
4-piece Regular Nuggets Large,Nuggets,Chicken,,,,,
6-piece Regular Nuggets Large,Nuggets,Chicken,,,,,
Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Small,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Large,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Extra Large,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap King Size,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Family Size,Chicken Wrap,Chicken,,,,,
4-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
6-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
8-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
10-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
12-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
15-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
20-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Combo,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Value Meal,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Deluxe Meal,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Family Meal,Chicken Wrap,Chicken,,,,,
Grilled Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
Fried Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
Baked Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
Fresh Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Extra Crispy,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap No Mayo,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Extra Cheese,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Spicy,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap Mild,Chicken Wrap,Chicken,,,,,
Grilled Chicken Wrap BBQ,Chicken Wrap,Chicken,,,,,
4-piece Grilled Chicken Wrap Small,Chicken Wrap,Chicken,,,,,
6-piece Grilled Chicken Wrap Small,Chicken Wrap,Chicken,,,,,
4-piece Grilled Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,
6-piece Grilled Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,
4-piece Grilled Chicken Wrap Large,Chicken Wrap,Chicken,,,,,
6-piece Grilled Chicken Wrap Large,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Small,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Large,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Extra Large,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap King Size,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Family Size,Chicken Wrap,Chicken,,,,,
4-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
6-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
8-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
10-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
12-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
15-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
20-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Combo,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Value Meal,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Deluxe Meal,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Family Meal,Chicken Wrap,Chicken,,,,,
Grilled Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
Fried Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
Baked Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
Fresh Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Extra Crispy,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap No Mayo,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Extra Cheese,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Spicy,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap Mild,Chicken Wrap,Chicken,,,,,
Crispy Chicken Wrap BBQ,Chicken Wrap,Chicken,,,,,
4-piece Crispy Chicken Wrap Small,Chicken Wrap,Chicken,,,,,
6-piece Crispy Chicken Wrap Small,Chicken Wrap,Chicken,,,,,
4-piece Crispy Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,
6-piece Crispy Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,
4-piece Crispy Chicken Wrap Large,Chicken Wrap,Chicken,,,,,
6-piece Crispy Chicken Wrap Large,Chicken Wrap,Chicken,,,,,
Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Extra Large,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders King Size,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Family Size,Chicken Tenders,Chicken,,,,,
4-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
6-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
8-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
10-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
12-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
15-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
20-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Combo,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Value Meal,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Deluxe Meal,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Family Meal,Chicken Tenders,Chicken,,,,,
Grilled Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
Fried Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
Baked Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
Fresh Original Chicken Tenders,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Extra Crispy,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders No Mayo,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Extra Cheese,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Spicy,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders Mild,Chicken Tenders,Chicken,,,,,
Original Chicken Tenders BBQ,Chicken Tenders,Chicken,,,,,
4-piece Original Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
6-piece Original Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
4-piece Original Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
6-piece Original Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
4-piece Original Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
6-piece Original Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Extra Large,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders King Size,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Family Size,Chicken Tenders,Chicken,,,,,
4-piece Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
6-piece Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
8-piece Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
10-piece Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
12-piece Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
15-piece Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
20-piece Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Combo,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Value Meal,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Deluxe Meal,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Family Meal,Chicken Tenders,Chicken,,,,,
Grilled Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
Fried Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
Baked Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
Fresh Buffalo Chicken Tenders,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Extra Crispy,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders No Mayo,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Extra Cheese,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Spicy,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders Mild,Chicken Tenders,Chicken,,,,,
Buffalo Chicken Tenders BBQ,Chicken Tenders,Chicken,,,,,
4-piece Buffalo Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
6-piece Buffalo Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
4-piece Buffalo Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
6-piece Buffalo Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
4-piece Buffalo Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
6-piece Buffalo Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Extra Large,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders King Size,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Family Size,Chicken Tenders,Chicken,,,,,
4-piece Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
6-piece Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
8-piece Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
10-piece Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
12-piece Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
15-piece Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
20-piece Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Combo,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Value Meal,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Deluxe Meal,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Family Meal,Chicken Tenders,Chicken,,,,,
Grilled Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
Fried Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
Baked Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
Fresh Honey BBQ Chicken Tenders,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Extra Crispy,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders No Mayo,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Extra Cheese,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Spicy,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders Mild,Chicken Tenders,Chicken,,,,,
Honey BBQ Chicken Tenders BBQ,Chicken Tenders,Chicken,,,,,
4-piece Honey BBQ Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
6-piece Honey BBQ Chicken Tenders Small,Chicken Tenders,Chicken,,,,,
4-piece Honey BBQ Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
6-piece Honey BBQ Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,
4-piece Honey BBQ Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
6-piece Honey BBQ Chicken Tenders Large,Chicken Tenders,Chicken,,,,,
Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Small,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Medium,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Large,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Extra Large,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips King Size,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Family Size,Chicken Strips,Chicken,,,,,
4-piece Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
6-piece Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
8-piece Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
10-piece Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
12-piece Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
15-piece Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
20-piece Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Combo,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Value Meal,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Deluxe Meal,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Family Meal,Chicken Strips,Chicken,,,,,
Grilled Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
Fried Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
Baked Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
Fresh Crispy Chicken Strips,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Extra Crispy,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips No Mayo,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Extra Cheese,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Spicy,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips Mild,Chicken Strips,Chicken,,,,,
Crispy Chicken Strips BBQ,Chicken Strips,Chicken,,,,,
4-piece Crispy Chicken Strips Small,Chicken Strips,Chicken,,,,,
6-piece Crispy Chicken Strips Small,Chicken Strips,Chicken,,,,,
4-piece Crispy Chicken Strips Medium,Chicken Strips,Chicken,,,,,
6-piece Crispy Chicken Strips Medium,Chicken Strips,Chicken,,,,,
4-piece Crispy Chicken Strips Large,Chicken Strips,Chicken,,,,,
6-piece Crispy Chicken Strips Large,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Small,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Medium,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Large,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Extra Large,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips King Size,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Family Size,Chicken Strips,Chicken,,,,,
4-piece Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
6-piece Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
8-piece Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
10-piece Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
12-piece Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
15-piece Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
20-piece Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Combo,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Value Meal,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Deluxe Meal,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Family Meal,Chicken Strips,Chicken,,,,,
Grilled Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
Fried Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
Baked Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
Fresh Grilled Chicken Strips,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Extra Crispy,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips No Mayo,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Extra Cheese,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Spicy,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips Mild,Chicken Strips,Chicken,,,,,
Grilled Chicken Strips BBQ,Chicken Strips,Chicken,,,,,
4-piece Grilled Chicken Strips Small,Chicken Strips,Chicken,,,,,
6-piece Grilled Chicken Strips Small,Chicken Strips,Chicken,,,,,
4-piece Grilled Chicken Strips Medium,Chicken Strips,Chicken,,,,,
6-piece Grilled Chicken Strips Medium,Chicken Strips,Chicken,,,,,
4-piece Grilled Chicken Strips Large,Chicken Strips,Chicken,,,,,
6-piece Grilled Chicken Strips Large,Chicken Strips,Chicken,,,,,
Classic Whopper Burger,Whopper Burger,Beef,,,,,
Classic Whopper Burger Small,Whopper Burger,Beef,,,,,
Classic Whopper Burger Medium,Whopper Burger,Beef,,,,,
Classic Whopper Burger Large,Whopper Burger,Beef,,,,,
Classic Whopper Burger Extra Large,Whopper Burger,Beef,,,,,
Classic Whopper Burger King Size,Whopper Burger,Beef,,,,,
Classic Whopper Burger Family Size,Whopper Burger,Beef,,,,,
Classic Whopper Burger Combo,Whopper Burger,Beef,,,,,
Classic Whopper Burger Value Meal,Whopper Burger,Beef,,,,,
Classic Whopper Burger Deluxe Meal,Whopper Burger,Beef,,,,,
Classic Whopper Burger Family Meal,Whopper Burger,Beef,,,,,
Grilled Classic Whopper Burger,Whopper Burger,Beef,,,,,
Fried Classic Whopper Burger,Whopper Burger,Beef,,,,,
Baked Classic Whopper Burger,Whopper Burger,Beef,,,,,
Fresh Classic Whopper Burger,Whopper Burger,Beef,,,,,
