menu_item,category_item,class_item,Unnamed: 3,item_id,Unnamed: 5,3NF,menu_item_code,category_item_code,class_item_code,final_unique_code
Spicy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,SCSM,CS,CH,SCSMCSCH
Spicy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,SCSL,CS,CH,SCSLCSCH
Spicy Chicken Sandwich Extra Large,Chicken Sandwich,Chicken,,,,,SCSEL,CS,CH,SCSELCSCH
Spicy Chicken Sandwich King Size,Chicken Sandwich,Chicken,,,,,SCSKS,CS,CH,SCSKSCSCH
Spicy Chicken Sandwich Family Size,Chicken Sandwich,Chicken,,,,,SCSFS,CS,CH,SCSFSCSCH
4-piece Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,4SCS,CS,CH,4SCSCSCH
6-piece Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,6SCS,CS,CH,6SCSCSCH
8-piece Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,8SCS,CS,CH,8SCSCSCH
10-piece Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1SCS,CS,CH,1SCSCSCH
12-piece Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1SCS,CS,CH,1SCSCSCH
15-piece Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1SCS,CS,CH,1SCSCSCH
20-piece Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,2SCS,CS,CH,2SCSCSCH
Spicy Chicken Sandwich Combo,Chicken Sandwich,Chicken,,,,,SCSC,CS,CH,SCSCCSCH
Spicy Chicken Sandwich Value Meal,Chicken Sandwich,Chicken,,,,,SCSVM,CS,CH,SCSVMCSCH
Spicy Chicken Sandwich Deluxe Meal,Chicken Sandwich,Chicken,,,,,SCSDM,CS,CH,SCSDMCSCH
Spicy Chicken Sandwich Family Meal,Chicken Sandwich,Chicken,,,,,SCSFM,CS,CH,SCSFMCSCH
Grilled Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,GSCS,CS,CH,GSCSCSCH
Fried Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,FSCS,CS,CH,FSCSCSCH
Baked Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,BSCS,CS,CH,BSCSCSCH
Fresh Spicy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,FSCS,CS,CH,FSCSCSCH
Spicy Chicken Sandwich Extra Crispy,Chicken Sandwich,Chicken,,,,,SCSEC,CS,CH,SCSECCSCH
Spicy Chicken Sandwich No Mayo,Chicken Sandwich,Chicken,,,,,SCSNM,CS,CH,SCSNMCSCH
Spicy Chicken Sandwich Extra Cheese,Chicken Sandwich,Chicken,,,,,SCSEC,CS,CH,SCSECCSCH
Spicy Chicken Sandwich Spicy,Chicken Sandwich,Chicken,,,,,SCSS,CS,CH,SCSSCSCH
Spicy Chicken Sandwich Mild,Chicken Sandwich,Chicken,,,,,SCSM,CS,CH,SCSMCSCH
Spicy Chicken Sandwich BBQ,Chicken Sandwich,Chicken,,,,,SCSB,CS,CH,SCSBCSCH
4-piece Spicy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,4SCSS,CS,CH,4SCSSCSCH
6-piece Spicy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,6SCSS,CS,CH,6SCSSCSCH
4-piece Spicy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,4SCSM,CS,CH,4SCSMCSCH
6-piece Spicy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,6SCSM,CS,CH,6SCSMCSCH
4-piece Spicy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,4SCSL,CS,CH,4SCSLCSCH
6-piece Spicy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,6SCSL,CS,CH,6SCSLCSCH
Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,GCS,CS,CH,GCSCSCH
Grilled Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,GCSS,CS,CH,GCSSCSCH
Grilled Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,GCSM,CS,CH,GCSMCSCH
Grilled Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,GCSL,CS,CH,GCSLCSCH
Grilled Chicken Sandwich Extra Large,Chicken Sandwich,Chicken,,,,,GCSEL,CS,CH,GCSELCSCH
Grilled Chicken Sandwich King Size,Chicken Sandwich,Chicken,,,,,GCSKS,CS,CH,GCSKSCSCH
Grilled Chicken Sandwich Family Size,Chicken Sandwich,Chicken,,,,,GCSFS,CS,CH,GCSFSCSCH
4-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,4GCS,CS,CH,4GCSCSCH
6-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,6GCS,CS,CH,6GCSCSCH
8-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,8GCS,CS,CH,8GCSCSCH
10-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1GCS,CS,CH,1GCSCSCH
12-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1GCS,CS,CH,1GCSCSCH
15-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1GCS,CS,CH,1GCSCSCH
20-piece Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,2GCS,CS,CH,2GCSCSCH
Grilled Chicken Sandwich Combo,Chicken Sandwich,Chicken,,,,,GCSC,CS,CH,GCSCCSCH
Grilled Chicken Sandwich Value Meal,Chicken Sandwich,Chicken,,,,,GCSVM,CS,CH,GCSVMCSCH
Grilled Chicken Sandwich Deluxe Meal,Chicken Sandwich,Chicken,,,,,GCSDM,CS,CH,GCSDMCSCH
Grilled Chicken Sandwich Family Meal,Chicken Sandwich,Chicken,,,,,GCSFM,CS,CH,GCSFMCSCH
Grilled Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,GGCS,CS,CH,GGCSCSCH
Fried Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,FGCS,CS,CH,FGCSCSCH
Baked Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,BGCS,CS,CH,BGCSCSCH
Fresh Grilled Chicken Sandwich,Chicken Sandwich,Chicken,,,,,FGCS,CS,CH,FGCSCSCH
Grilled Chicken Sandwich Extra Crispy,Chicken Sandwich,Chicken,,,,,GCSEC,CS,CH,GCSECCSCH
Grilled Chicken Sandwich No Mayo,Chicken Sandwich,Chicken,,,,,GCSNM,CS,CH,GCSNMCSCH
Grilled Chicken Sandwich Extra Cheese,Chicken Sandwich,Chicken,,,,,GCSEC,CS,CH,GCSECCSCH
Grilled Chicken Sandwich Spicy,Chicken Sandwich,Chicken,,,,,GCSS,CS,CH,GCSSCSCH
Grilled Chicken Sandwich Mild,Chicken Sandwich,Chicken,,,,,GCSM,CS,CH,GCSMCSCH
Grilled Chicken Sandwich BBQ,Chicken Sandwich,Chicken,,,,,GCSB,CS,CH,GCSBCSCH
4-piece Grilled Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,4GCSS,CS,CH,4GCSSCSCH
6-piece Grilled Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,6GCSS,CS,CH,6GCSSCSCH
4-piece Grilled Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,4GCSM,CS,CH,4GCSMCSCH
6-piece Grilled Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,6GCSM,CS,CH,6GCSMCSCH
4-piece Grilled Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,4GCSL,CS,CH,4GCSLCSCH
6-piece Grilled Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,6GCSL,CS,CH,6GCSLCSCH
Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,CCS,CS,CH,CCSCSCH
Crispy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,CCSS,CS,CH,CCSSCSCH
Crispy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,CCSM,CS,CH,CCSMCSCH
Crispy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,CCSL,CS,CH,CCSLCSCH
Crispy Chicken Sandwich Extra Large,Chicken Sandwich,Chicken,,,,,CCSEL,CS,CH,CCSELCSCH
Crispy Chicken Sandwich King Size,Chicken Sandwich,Chicken,,,,,CCSKS,CS,CH,CCSKSCSCH
Crispy Chicken Sandwich Family Size,Chicken Sandwich,Chicken,,,,,CCSFS,CS,CH,CCSFSCSCH
4-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,4CCS,CS,CH,4CCSCSCH
6-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,6CCS,CS,CH,6CCSCSCH
8-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,8CCS,CS,CH,8CCSCSCH
10-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1CCS,CS,CH,1CCSCSCH
12-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1CCS,CS,CH,1CCSCSCH
15-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,1CCS,CS,CH,1CCSCSCH
20-piece Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,2CCS,CS,CH,2CCSCSCH
Crispy Chicken Sandwich Combo,Chicken Sandwich,Chicken,,,,,CCSC,CS,CH,CCSCCSCH
Crispy Chicken Sandwich Value Meal,Chicken Sandwich,Chicken,,,,,CCSVM,CS,CH,CCSVMCSCH
Crispy Chicken Sandwich Deluxe Meal,Chicken Sandwich,Chicken,,,,,CCSDM,CS,CH,CCSDMCSCH
Crispy Chicken Sandwich Family Meal,Chicken Sandwich,Chicken,,,,,CCSFM,CS,CH,CCSFMCSCH
Grilled Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,GCCS,CS,CH,GCCSCSCH
Fried Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,FCCS,CS,CH,FCCSCSCH
Baked Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,BCCS,CS,CH,BCCSCSCH
Fresh Crispy Chicken Sandwich,Chicken Sandwich,Chicken,,,,,FCCS,CS,CH,FCCSCSCH
Crispy Chicken Sandwich Extra Crispy,Chicken Sandwich,Chicken,,,,,CCSEC,CS,CH,CCSECCSCH
Crispy Chicken Sandwich No Mayo,Chicken Sandwich,Chicken,,,,,CCSNM,CS,CH,CCSNMCSCH
Crispy Chicken Sandwich Extra Cheese,Chicken Sandwich,Chicken,,,,,CCSEC,CS,CH,CCSECCSCH
Crispy Chicken Sandwich Spicy,Chicken Sandwich,Chicken,,,,,CCSS,CS,CH,CCSSCSCH
Crispy Chicken Sandwich Mild,Chicken Sandwich,Chicken,,,,,CCSM,CS,CH,CCSMCSCH
Crispy Chicken Sandwich BBQ,Chicken Sandwich,Chicken,,,,,CCSB,CS,CH,CCSBCSCH
4-piece Crispy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,4CCSS,CS,CH,4CCSSCSCH
6-piece Crispy Chicken Sandwich Small,Chicken Sandwich,Chicken,,,,,6CCSS,CS,CH,6CCSSCSCH
4-piece Crispy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,4CCSM,CS,CH,4CCSMCSCH
6-piece Crispy Chicken Sandwich Medium,Chicken Sandwich,Chicken,,,,,6CCSM,CS,CH,6CCSMCSCH
4-piece Crispy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,4CCSL,CS,CH,4CCSLCSCH
6-piece Crispy Chicken Sandwich Large,Chicken Sandwich,Chicken,,,,,6CCSL,CS,CH,6CCSLCSCH
Spicy Nuggets,Nuggets,Chicken,,,,,SN,N,CH,SNNCH
Spicy Nuggets Small,Nuggets,Chicken,,,,,SNS,N,CH,SNSNCH
Spicy Nuggets Medium,Nuggets,Chicken,,,,,SNM,N,CH,SNMNCH
Spicy Nuggets Large,Nuggets,Chicken,,,,,SNL,N,CH,SNLNCH
Spicy Nuggets Extra Large,Nuggets,Chicken,,,,,SNEL,N,CH,SNELNCH
Spicy Nuggets King Size,Nuggets,Chicken,,,,,SNKS,N,CH,SNKSNCH
Spicy Nuggets Family Size,Nuggets,Chicken,,,,,SNFS,N,CH,SNFSNCH
4-piece Spicy Nuggets,Nuggets,Chicken,,,,,4SN,N,CH,4SNNCH
6-piece Spicy Nuggets,Nuggets,Chicken,,,,,6SN,N,CH,6SNNCH
8-piece Spicy Nuggets,Nuggets,Chicken,,,,,8SN,N,CH,8SNNCH
10-piece Spicy Nuggets,Nuggets,Chicken,,,,,1SN,N,CH,1SNNCH
12-piece Spicy Nuggets,Nuggets,Chicken,,,,,1SN,N,CH,1SNNCH
15-piece Spicy Nuggets,Nuggets,Chicken,,,,,1SN,N,CH,1SNNCH
20-piece Spicy Nuggets,Nuggets,Chicken,,,,,2SN,N,CH,2SNNCH
Spicy Nuggets Combo,Nuggets,Chicken,,,,,SNC,N,CH,SNCNCH
Spicy Nuggets Value Meal,Nuggets,Chicken,,,,,SNVM,N,CH,SNVMNCH
Spicy Nuggets Deluxe Meal,Nuggets,Chicken,,,,,SNDM,N,CH,SNDMNCH
Spicy Nuggets Family Meal,Nuggets,Chicken,,,,,SNFM,N,CH,SNFMNCH
Grilled Spicy Nuggets,Nuggets,Chicken,,,,,GSN,N,CH,GSNNCH
Fried Spicy Nuggets,Nuggets,Chicken,,,,,FSN,N,CH,FSNNCH
Baked Spicy Nuggets,Nuggets,Chicken,,,,,BSN,N,CH,BSNNCH
Fresh Spicy Nuggets,Nuggets,Chicken,,,,,FSN,N,CH,FSNNCH
Spicy Nuggets Extra Crispy,Nuggets,Chicken,,,,,SNEC,N,CH,SNECNCH
Spicy Nuggets No Mayo,Nuggets,Chicken,,,,,SNNM,N,CH,SNNMNCH
Spicy Nuggets Extra Cheese,Nuggets,Chicken,,,,,SNEC,N,CH,SNECNCH
Spicy Nuggets Spicy,Nuggets,Chicken,,,,,SNS,N,CH,SNSNCH
Spicy Nuggets Mild,Nuggets,Chicken,,,,,SNM,N,CH,SNMNCH
Spicy Nuggets BBQ,Nuggets,Chicken,,,,,SNB,N,CH,SNBNCH
4-piece Spicy Nuggets Small,Nuggets,Chicken,,,,,4SNS,N,CH,4SNSNCH
6-piece Spicy Nuggets Small,Nuggets,Chicken,,,,,6SNS,N,CH,6SNSNCH
4-piece Spicy Nuggets Medium,Nuggets,Chicken,,,,,4SNM,N,CH,4SNMNCH
6-piece Spicy Nuggets Medium,Nuggets,Chicken,,,,,6SNM,N,CH,6SNMNCH
4-piece Spicy Nuggets Large,Nuggets,Chicken,,,,,4SNL,N,CH,4SNLNCH
6-piece Spicy Nuggets Large,Nuggets,Chicken,,,,,6SNL,N,CH,6SNLNCH
Regular Nuggets,Nuggets,Chicken,,,,,RN,N,CH,RNNCH
Regular Nuggets Small,Nuggets,Chicken,,,,,RNS,N,CH,RNSNCH
Regular Nuggets Medium,Nuggets,Chicken,,,,,RNM,N,CH,RNMNCH
Regular Nuggets Large,Nuggets,Chicken,,,,,RNL,N,CH,RNLNCH
Regular Nuggets Extra Large,Nuggets,Chicken,,,,,RNEL,N,CH,RNELNCH
Regular Nuggets King Size,Nuggets,Chicken,,,,,RNKS,N,CH,RNKSNCH
Regular Nuggets Family Size,Nuggets,Chicken,,,,,RNFS,N,CH,RNFSNCH
4-piece Regular Nuggets,Nuggets,Chicken,,,,,4RN,N,CH,4RNNCH
6-piece Regular Nuggets,Nuggets,Chicken,,,,,6RN,N,CH,6RNNCH
8-piece Regular Nuggets,Nuggets,Chicken,,,,,8RN,N,CH,8RNNCH
10-piece Regular Nuggets,Nuggets,Chicken,,,,,1RN,N,CH,1RNNCH
12-piece Regular Nuggets,Nuggets,Chicken,,,,,1RN,N,CH,1RNNCH
15-piece Regular Nuggets,Nuggets,Chicken,,,,,1RN,N,CH,1RNNCH
20-piece Regular Nuggets,Nuggets,Chicken,,,,,2RN,N,CH,2RNNCH
Regular Nuggets Combo,Nuggets,Chicken,,,,,RNC,N,CH,RNCNCH
Regular Nuggets Value Meal,Nuggets,Chicken,,,,,RNVM,N,CH,RNVMNCH
Regular Nuggets Deluxe Meal,Nuggets,Chicken,,,,,RNDM,N,CH,RNDMNCH
Regular Nuggets Family Meal,Nuggets,Chicken,,,,,RNFM,N,CH,RNFMNCH
Grilled Regular Nuggets,Nuggets,Chicken,,,,,GRN,N,CH,GRNNCH
Fried Regular Nuggets,Nuggets,Chicken,,,,,FRN,N,CH,FRNNCH
Baked Regular Nuggets,Nuggets,Chicken,,,,,BRN,N,CH,BRNNCH
Fresh Regular Nuggets,Nuggets,Chicken,,,,,FRN,N,CH,FRNNCH
Regular Nuggets Extra Crispy,Nuggets,Chicken,,,,,RNEC,N,CH,RNECNCH
Regular Nuggets No Mayo,Nuggets,Chicken,,,,,RNNM,N,CH,RNNMNCH
Regular Nuggets Extra Cheese,Nuggets,Chicken,,,,,RNEC,N,CH,RNECNCH
Regular Nuggets Spicy,Nuggets,Chicken,,,,,RNS,N,CH,RNSNCH
Regular Nuggets Mild,Nuggets,Chicken,,,,,RNM,N,CH,RNMNCH
Regular Nuggets BBQ,Nuggets,Chicken,,,,,RNB,N,CH,RNBNCH
4-piece Regular Nuggets Small,Nuggets,Chicken,,,,,4RNS,N,CH,4RNSNCH
6-piece Regular Nuggets Small,Nuggets,Chicken,,,,,6RNS,N,CH,6RNSNCH
4-piece Regular Nuggets Medium,Nuggets,Chicken,,,,,4RNM,N,CH,4RNMNCH
6-piece Regular Nuggets Medium,Nuggets,Chicken,,,,,6RNM,N,CH,6RNMNCH
4-piece Regular Nuggets Large,Nuggets,Chicken,,,,,4RNL,N,CH,4RNLNCH
6-piece Regular Nuggets Large,Nuggets,Chicken,,,,,6RNL,N,CH,6RNLNCH
Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,GCW,CW,CH,GCWCWCH
Grilled Chicken Wrap Small,Chicken Wrap,Chicken,,,,,GCWS,CW,CH,GCWSCWCH
Grilled Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,GCWM,CW,CH,GCWMCWCH
Grilled Chicken Wrap Large,Chicken Wrap,Chicken,,,,,GCWL,CW,CH,GCWLCWCH
Grilled Chicken Wrap Extra Large,Chicken Wrap,Chicken,,,,,GCWEL,CW,CH,GCWELCWCH
Grilled Chicken Wrap King Size,Chicken Wrap,Chicken,,,,,GCWKS,CW,CH,GCWKSCWCH
Grilled Chicken Wrap Family Size,Chicken Wrap,Chicken,,,,,GCWFS,CW,CH,GCWFSCWCH
4-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,4GCW,CW,CH,4GCWCWCH
6-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,6GCW,CW,CH,6GCWCWCH
8-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,8GCW,CW,CH,8GCWCWCH
10-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,1GCW,CW,CH,1GCWCWCH
12-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,1GCW,CW,CH,1GCWCWCH
15-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,1GCW,CW,CH,1GCWCWCH
20-piece Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,2GCW,CW,CH,2GCWCWCH
Grilled Chicken Wrap Combo,Chicken Wrap,Chicken,,,,,GCWC,CW,CH,GCWCCWCH
Grilled Chicken Wrap Value Meal,Chicken Wrap,Chicken,,,,,GCWVM,CW,CH,GCWVMCWCH
Grilled Chicken Wrap Deluxe Meal,Chicken Wrap,Chicken,,,,,GCWDM,CW,CH,GCWDMCWCH
Grilled Chicken Wrap Family Meal,Chicken Wrap,Chicken,,,,,GCWFM,CW,CH,GCWFMCWCH
Grilled Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,GGCW,CW,CH,GGCWCWCH
Fried Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,FGCW,CW,CH,FGCWCWCH
Baked Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,BGCW,CW,CH,BGCWCWCH
Fresh Grilled Chicken Wrap,Chicken Wrap,Chicken,,,,,FGCW,CW,CH,FGCWCWCH
Grilled Chicken Wrap Extra Crispy,Chicken Wrap,Chicken,,,,,GCWEC,CW,CH,GCWECCWCH
Grilled Chicken Wrap No Mayo,Chicken Wrap,Chicken,,,,,GCWNM,CW,CH,GCWNMCWCH
Grilled Chicken Wrap Extra Cheese,Chicken Wrap,Chicken,,,,,GCWEC,CW,CH,GCWECCWCH
Grilled Chicken Wrap Spicy,Chicken Wrap,Chicken,,,,,GCWS,CW,CH,GCWSCWCH
Grilled Chicken Wrap Mild,Chicken Wrap,Chicken,,,,,GCWM,CW,CH,GCWMCWCH
Grilled Chicken Wrap BBQ,Chicken Wrap,Chicken,,,,,GCWB,CW,CH,GCWBCWCH
4-piece Grilled Chicken Wrap Small,Chicken Wrap,Chicken,,,,,4GCWS,CW,CH,4GCWSCWCH
6-piece Grilled Chicken Wrap Small,Chicken Wrap,Chicken,,,,,6GCWS,CW,CH,6GCWSCWCH
4-piece Grilled Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,4GCWM,CW,CH,4GCWMCWCH
6-piece Grilled Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,6GCWM,CW,CH,6GCWMCWCH
4-piece Grilled Chicken Wrap Large,Chicken Wrap,Chicken,,,,,4GCWL,CW,CH,4GCWLCWCH
6-piece Grilled Chicken Wrap Large,Chicken Wrap,Chicken,,,,,6GCWL,CW,CH,6GCWLCWCH
Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,CCW,CW,CH,CCWCWCH
Crispy Chicken Wrap Small,Chicken Wrap,Chicken,,,,,CCWS,CW,CH,CCWSCWCH
Crispy Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,CCWM,CW,CH,CCWMCWCH
Crispy Chicken Wrap Large,Chicken Wrap,Chicken,,,,,CCWL,CW,CH,CCWLCWCH
Crispy Chicken Wrap Extra Large,Chicken Wrap,Chicken,,,,,CCWEL,CW,CH,CCWELCWCH
Crispy Chicken Wrap King Size,Chicken Wrap,Chicken,,,,,CCWKS,CW,CH,CCWKSCWCH
Crispy Chicken Wrap Family Size,Chicken Wrap,Chicken,,,,,CCWFS,CW,CH,CCWFSCWCH
4-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,4CCW,CW,CH,4CCWCWCH
6-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,6CCW,CW,CH,6CCWCWCH
8-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,8CCW,CW,CH,8CCWCWCH
10-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,1CCW,CW,CH,1CCWCWCH
12-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,1CCW,CW,CH,1CCWCWCH
15-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,1CCW,CW,CH,1CCWCWCH
20-piece Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,2CCW,CW,CH,2CCWCWCH
Crispy Chicken Wrap Combo,Chicken Wrap,Chicken,,,,,CCWC,CW,CH,CCWCCWCH
Crispy Chicken Wrap Value Meal,Chicken Wrap,Chicken,,,,,CCWVM,CW,CH,CCWVMCWCH
Crispy Chicken Wrap Deluxe Meal,Chicken Wrap,Chicken,,,,,CCWDM,CW,CH,CCWDMCWCH
Crispy Chicken Wrap Family Meal,Chicken Wrap,Chicken,,,,,CCWFM,CW,CH,CCWFMCWCH
Grilled Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,GCCW,CW,CH,GCCWCWCH
Fried Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,FCCW,CW,CH,FCCWCWCH
Baked Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,BCCW,CW,CH,BCCWCWCH
Fresh Crispy Chicken Wrap,Chicken Wrap,Chicken,,,,,FCCW,CW,CH,FCCWCWCH
Crispy Chicken Wrap Extra Crispy,Chicken Wrap,Chicken,,,,,CCWEC,CW,CH,CCWECCWCH
Crispy Chicken Wrap No Mayo,Chicken Wrap,Chicken,,,,,CCWNM,CW,CH,CCWNMCWCH
Crispy Chicken Wrap Extra Cheese,Chicken Wrap,Chicken,,,,,CCWEC,CW,CH,CCWECCWCH
Crispy Chicken Wrap Spicy,Chicken Wrap,Chicken,,,,,CCWS,CW,CH,CCWSCWCH
Crispy Chicken Wrap Mild,Chicken Wrap,Chicken,,,,,CCWM,CW,CH,CCWMCWCH
Crispy Chicken Wrap BBQ,Chicken Wrap,Chicken,,,,,CCWB,CW,CH,CCWBCWCH
4-piece Crispy Chicken Wrap Small,Chicken Wrap,Chicken,,,,,4CCWS,CW,CH,4CCWSCWCH
6-piece Crispy Chicken Wrap Small,Chicken Wrap,Chicken,,,,,6CCWS,CW,CH,6CCWSCWCH
4-piece Crispy Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,4CCWM,CW,CH,4CCWMCWCH
6-piece Crispy Chicken Wrap Medium,Chicken Wrap,Chicken,,,,,6CCWM,CW,CH,6CCWMCWCH
4-piece Crispy Chicken Wrap Large,Chicken Wrap,Chicken,,,,,4CCWL,CW,CH,4CCWLCWCH
6-piece Crispy Chicken Wrap Large,Chicken Wrap,Chicken,,,,,6CCWL,CW,CH,6CCWLCWCH
Original Chicken Tenders,Chicken Tenders,Chicken,,,,,OCT,CT,CH,OCTCTCH
Original Chicken Tenders Small,Chicken Tenders,Chicken,,,,,OCTS,CT,CH,OCTSCTCH
Original Chicken Tenders Medium,Chicken Tenders,Chicken,,,,,OCTM,CT,CH,OCTMCTCH
Original Chicken Tenders Large,Chicken Tenders,Chicken,,,,,OCTL,CT,CH,OCTLCTCH
Original Chicken Tenders Extra Large,Chicken Tenders,Chicken,,,,,OCTEL,CT,CH,OCTELCTCH
Original Chicken Tenders King Size,Chicken Tenders,Chicken,,,,,OCTKS,CT,CH,OCTKSCTCH
Original Chicken Tenders Family Size,Chicken Tenders,Chicken,,,,,OCTFS,CT,CH,OCTFSCTCH
4-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,4OCT,CT,CH,4OCTCTCH
6-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,6OCT,CT,CH,6OCTCTCH
8-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,8OCT,CT,CH,8OCTCTCH
10-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,1OCT,CT,CH,1OCTCTCH
12-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,1OCT,CT,CH,1OCTCTCH
15-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,1OCT,CT,CH,1OCTCTCH
20-piece Original Chicken Tenders,Chicken Tenders,Chicken,,,,,2OCT,CT,CH,2OCTCTCH
Original Chicken Tenders Combo,Chicken Tenders,Chicken,,,,,OCTC,CT,CH,OCTCCTCH
Original Chicken Tenders Value Meal,Chicken Tenders,Chicken,,,,,OCTVM,CT,CH,OCTVMCTCH
Original Chicken Tenders Deluxe Meal,Chicken Tenders,Chicken,,,,,OCTDM,CT,CH,OCTDMCTCH
Original Chicken Tenders Family Meal,Chicken Tenders,Chicken,,,,,OCTFM,CT,CH,OCTFMCTCH
Grilled Original Chicken Tenders,Chicken Tenders,Chicken,,,,,GOCT,CT,CH,GOCTCTCH
Fried Original Chicken Tenders,Chicken Tenders,Chicken,,,,,FOCT,CT,CH,FOCTCTCH
Baked Original Chicken Tenders,Chicken Tenders,Chicken,,,,,BOCT,CT,CH,BOCTCTCH
Fresh Original Chicken Tenders,Chicken Tenders,Chicken,,,,,FOCT,CT,CH,FOCTCTCH
